date,ad_unit,adx_impressions,adx_revenue,avg_adx_cpm
2024/1/31,s_39news_300x250_kijinaka2nd_29602,15170,737,49
2024/1/31,s_39news_300x250_kijinaka3rd_29602,8159,179,22
2024/1/31,s_39news_300x250_kijinaka4th_29602,16333,602,37
2024/1/31,s_39news_300x250_kijinaka5th_29602,8012,122,15
2024/1/31,s_39news_300x250_kijinaka6th_29602,10683,396,37
2024/1/31,s_39news_300x250_kijinaka7th_29602,6752,108,16
2024/1/31,s_39news_300x250_kijinaka8th_29602,9195,315,34
2024/1/31,s_39news_300x250_kijinaka9th_29602,8521,167,20
2024/1/31,s_39news_300x250_stamp2nd_29602,43867,482,11
2024/1/31,s_39news_300x250_stamp_29602,6879,130,19
2024/1/31,s_39news_320x100_320-100-overlay-Warau-39-SP_29602,16317,1394,85
2024/1/31,s_3punchiebukuro_300x250_300-250-1-Warau-CB-SP_30980,4230,62,15
2024/1/31,s_3punchiebukuro_300x250_300-250-2-Warau-CB-SP_30980,16953,551,33
2024/1/31,s_3punchiebukuro_300x250_300-250-3-Warau-CB-SP_30980,3674,54,15
2024/1/31,s_3punchiebukuro_300x250_300-250-4-Warau-CB-SP_30980,10004,371,37
2024/1/31,s_3punchiebukuro_300x250_300-250-5-Warau-CB-SP_30980,2261,34,15
2024/1/31,s_3punchiebukuro_300x250_300-250-6-Warau-CB-SP_30980,9727,421,43
2024/1/31,s_3punchiebukuro_300x250_300-250-7-Warau-CB-SP_30980,2340,40,17
2024/1/31,s_3punchiebukuro_300x250_300-250-8-Warau-CB-SP_30980,9738,322,33
2024/1/31,s_3punchiebukuro_300x250_300-250-9-Warau-CB-SP_30980,8548,120,14
2024/1/31,s_3punchiebukuro_300x250_300-250-get-Warau-CB-SP_30980,7630,134,18
2024/1/31,s_3punchiebukuro_300x250_300-250-get2-Warau-CB-SP_30980,7074,106,15
2024/1/31,s_3punchiebukuro_300x250_300-250-stamp-2-Warau-CB-SP_30980,16773,345,21
2024/1/31,s_3punchiebukuro_300x250_300-250-stamp-Warau-CB-SP_30980,2206,32,14
2024/1/31,s_t-mall_300x250_tamaru-listpage-under1_28666,5,1,144
2024/1/31,s_t-mall_300x250_tokushu-footer1_28666,3288,8720,2652
2024/1/31,s_t-mall_300x250_tmall-affiliatetop-site-under1_28666,26660,45129,1693
2024/1/31,s_t-mall_300x250_tmall-questionnaire-site-under1_28666,1,0,3
